layer,uniform_keep,nonuniform_keep,massmax_score_sum,uniform_removed_proxy,nonuniform_removed_proxy
3,272,280,2.271845880306003,0.013768187826970948,0.006321046094943784
4,272,288,2.0080591013412197,0.020314027758941706,0
5,272,288,1.9969754163414712,0.02079218364873985,0
6,272,288,2.2163026333431635,0.01693255380870375,0
7,272,272,2.9816907805119497,0.010930957579030655,0.010930957579030655
8,272,280,2.667340742079388,0.01195703497624942,0.0049045655618045235
9,272,280,2.599951934113854,0.012568416581695106,0.0051894245396460655
10,272,280,2.554425947019885,0.013166995089952154,0.005824611612183829
11,272,280,2.7255124939215403,0.011599302263866705,0.004760804461013123
12,272,280,2.7115709411111744,0.012112595238203044,0.004997085259227459
13,272,280,3.03844348948571,0.011913055409699206,0.004865792904021615
14,272,272,3.1516795494373544,0.010021912358625507,0.010021912358625507
15,272,280,2.97268588092082,0.012267780736940405,0.005122163080243184
16,272,280,2.8228016492736754,0.011512607390323953,0.004836937268707701
17,272,280,3.024262996356616,0.010918671032744387,0.0043533034527470475
18,272,272,3.5131194391001688,0.009263072133892908,0.009263072133892908
19,272,272,3.450841958288555,0.009563212764324628,0.009563212764324628
20,272,272,3.199683538727339,0.008817019677547297,0.008817019677547297
21,272,280,3.0708414698433226,0.010367427430654956,0.004017396789434694
22,272,280,2.955860403842948,0.010518914832041697,0.003842582563725053
23,272,272,3.0243285917875564,0.01003973467285434,0.01003973467285434
24,272,272,3.2276326007021336,0.009949925967139632,0.009949925967139632
25,272,272,3.347459854158354,0.009298302477221694,0.009298302477221694
26,272,272,3.499228099660739,0.008165395582702352,0.008165395582702352
27,272,264,3.616898616349553,0.008699997517257996,0.014729263295456343
28,272,264,3.4542566440035234,0.008429168104169233,0.014532865563679474
29,272,264,3.2057812148299862,0.007977749978147469,0.013816880652685177
30,272,272,3.3209194861151876,0.010455675891294291,0.010455675891294291
31,272,256,3.5152846883913162,0.008120738695933251,0.019837233752814404
32,272,264,3.317943070086997,0.008973666332793518,0.014975905410236641
33,272,264,3.5029854818584765,0.008507389184502454,0.014236544733039834
34,272,264,3.514512483234148,0.009130991316897851,0.015321830914536051
35,272,272,3.51676975058686,0.009161735131330744,0.009161735131330744
36,272,264,3.405717842756327,0.008997421699933282,0.014954766489976732
37,272,272,3.308073489411227,0.010052368897692641,0.010052368897692641
38,272,272,3.387985770839877,0.009875551583696802,0.009875551583696802
39,272,264,3.445981848099766,0.008000358490241164,0.013758555879865587
40,272,264,3.215465065610572,0.008452721175778421,0.014418459637774246
41,272,272,3.0986447146229583,0.008492825571709063,0.008492825571709063
42,272,264,3.021248236803189,0.009132358194614469,0.015412151302883686
43,272,256,3.2657919035851513,0.007319527644951822,0.018545550223652448
44,272,240,3.147810102762338,0.006456930986187835,0.02859079897290442
